occupation,soc_code,occupation_type,employment_2024_thousands,employment_2034_thousands,employment_change_thousands,employment_change_percent,annual_openings_thousands,median_wage_2024,education_entry,work_experience,on_the_job_training
"        Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,Line item,66,66.8,0.8,1.2,6.5,46980,High school diploma or equivalent,,Moderate-term on-the-job training
"        Forging machine setters, operators, and tenders, metal and plastic",51-4022,Line item,8.8,7.2,-1.7,-18.9,0.6,49240,High school diploma or equivalent,,Moderate-term on-the-job training
"        Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Line item,22.5,20.6,-1.9,-8.3,1.9,48630,High school diploma or equivalent,,Moderate-term on-the-job training
"        Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,Line item,174.7,153.6,-21.1,-12.1,14.4,45590,High school diploma or equivalent,,Moderate-term on-the-job training
"        Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,Line item,5.3,4.3,-1,-19.6,0.4,46630,High school diploma or equivalent,,Moderate-term on-the-job training
"        Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,Line item,70.1,61.7,-8.4,-12,5.5,45190,High school diploma or equivalent,,Moderate-term on-the-job training
"        Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,Line item,18.9,16.4,-2.6,-13.6,1.5,48620,High school diploma or equivalent,,Moderate-term on-the-job training
"        Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,Line item,13.8,11.8,-2,-14.4,1.1,48310,High school diploma or equivalent,,Moderate-term on-the-job training
      Machinists,51-4041,Line item,299.5,299.6,0,0,29.5,56150,High school diploma or equivalent,,Long-term on-the-job training
        Metal-refining furnace operators and tenders,51-4051,Line item,20.8,20.3,-0.5,-2.3,2,55770,High school diploma or equivalent,,Moderate-term on-the-job training
"        Pourers and casters, metal",51-4052,Line item,5.9,5.7,-0.3,-4.7,0.6,48940,High school diploma or equivalent,,Moderate-term on-the-job training
"        Model makers, metal and plastic",51-4061,Line item,3.2,2.6,-0.6,-18.2,0.3,62700,High school diploma or equivalent,,Moderate-term on-the-job training
"        Patternmakers, metal and plastic",51-4062,Line item,1.6,1.2,-0.4,-24.4,0.1,54540,High school diploma or equivalent,,Moderate-term on-the-job training
        Foundry mold and coremakers,51-4071,Line item,12.7,9.4,-3.3,-25.9,0.9,45700,High school diploma or equivalent,,Moderate-term on-the-job training
"        Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,Line item,154.6,148.8,-5.8,-3.8,15.9,41230,High school diploma or equivalent,,Moderate-term on-the-job training
"      Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,Line item,131,130.3,-0.7,-0.5,12.8,46060,High school diploma or equivalent,,Moderate-term on-the-job training
      Tool and die makers,51-4111,Line item,55.2,49.3,-6,-10.8,4.7,63180,Postsecondary nondegree award,,Long-term on-the-job training
"        Welders, cutters, solderers, and brazers",51-4121,Line item,457.3,467.2,9.9,2.2,45.6,51000,High school diploma or equivalent,,Moderate-term on-the-job training
"        Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Line item,38.9,35.4,-3.5,-9,3.2,47060,High school diploma or equivalent,,Moderate-term on-the-job training
"        Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,Line item,14.8,12.9,-1.9,-12.8,1.2,47450,High school diploma or equivalent,,Moderate-term on-the-job training
"        Layout workers, metal and plastic",51-4192,Line item,5.7,5.4,-0.3,-5.4,0.5,61870,High school diploma or equivalent,,Moderate-term on-the-job training
"        Plating machine setters, operators, and tenders, metal and plastic",51-4193,Line item,31.7,27.4,-4.3,-13.6,2.5,41600,High school diploma or equivalent,,Moderate-term on-the-job training
"        Tool grinders, filers, and sharpeners",51-4194,Line item,5.8,5.4,-0.5,-7.8,0.5,48970,High school diploma or equivalent,,Moderate-term on-the-job training
"        Metal workers and plastic workers, all other",51-4199,Line item,20.4,18.5,-1.9,-9.5,1.7,42750,High school diploma or equivalent,,Moderate-term on-the-job training
      Prepress technicians and workers,51-5111,Line item,26.2,22.3,-3.8,-14.6,2.8,47300,Postsecondary nondegree award,,
      Printing press operators,51-5112,Line item,150.2,138,-12.2,-8.1,13.7,45160,High school diploma or equivalent,,Moderate-term on-the-job training
      Print binding and finishing workers,51-5113,Line item,35.8,30,-5.8,-16.1,2.8,39820,High school diploma or equivalent,,Moderate-term on-the-job training
      Laundry and dry-cleaning workers,51-6011,Line item,202.6,213.5,10.9,5.4,31.9,33800,No formal educational credential,,Short-term on-the-job training
"      Pressers, textile, garment, and related materials",51-6021,Line item,28.4,24.6,-3.8,-13.5,2.8,33880,No formal educational credential,,Short-term on-the-job training
      Sewing machine operators,51-6031,Line item,124,110.7,-13.3,-10.8,13,36000,No formal educational credential,,Short-term on-the-job training
        Shoe and leather workers and repairers,51-6041,Line item,9.5,9.1,-0.4,-3.8,0.9,35950,High school diploma or equivalent,,Moderate-term on-the-job training
        Shoe machine operators and tenders,51-6042,Line item,4.1,3.9,-0.2,-3.7,0.4,38160,High school diploma or equivalent,,Short-term on-the-job training
"        Sewers, hand",51-6051,Line item,5.4,5,-0.4,-7,0.7,33760,No formal educational credential,,Moderate-term on-the-job training
"        Tailors, dressmakers, and custom sewers",51-6052,Line item,38.8,37.1,-1.7,-4.5,5,40860,No formal educational credential,,Moderate-term on-the-job training
        Textile bleaching and dyeing machine operators and tenders,51-6061,Line item,6.2,5.5,-0.6,-10.1,0.7,37320,High school diploma or equivalent,,Short-term on-the-job training
"        Textile cutting machine setters, operators, and tenders",51-6062,Line item,9.3,8.2,-1.1,-11.7,1,37940,High school diploma or equivalent,,Moderate-term on-the-job training
"        Textile knitting and weaving machine setters, operators, and tenders",51-6063,Line item,15.3,13.6,-1.7,-11.2,1.7,38260,High school diploma or equivalent,,Short-term on-the-job training
"        Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,Line item,21.7,19.8,-1.9,-9,2.5,37660,High school diploma or equivalent,,Moderate-term on-the-job training
"        Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,Line item,15.2,15,-0.2,-1.1,2,44980,High school diploma or equivalent,,Moderate-term on-the-job training
        Fabric and apparel patternmakers,51-6092,Line item,2.8,2.5,-0.3,-10.2,0.3,67670,High school diploma or equivalent,,Moderate-term on-the-job training
        Upholsterers,51-6093,Line item,22.7,22.3,-0.4,-1.8,2.2,46190,High school diploma or equivalent,,Moderate-term on-the-job training
"        Textile, apparel, and furnishings workers, all other",51-6099,Line item,14.7,13.3,-1.4,-9.4,1.7,37010,High school diploma or equivalent,,Short-term on-the-job training
      Cabinetmakers and bench carpenters,51-7011,Line item,86,84.7,-1.4,-1.6,8.1,46020,High school diploma or equivalent,,Moderate-term on-the-job training
      Furniture finishers,51-7021,Line item,20.5,19.8,-0.7,-3.3,2,42530,High school diploma or equivalent,,Short-term on-the-job training
"        Model makers, wood",51-7031,Line item,0.9,0.9,0,-4.5,0.1,51850,High school diploma or equivalent,,Moderate-term on-the-job training
"        Patternmakers, wood",51-7032,Line item,0.5,0.4,0,-5,0,52520,High school diploma or equivalent,,Moderate-term on-the-job training
"        Sawing machine setters, operators, and tenders, wood",51-7041,Line item,45,44.7,-0.3,-0.6,4.8,39950,High school diploma or equivalent,,Moderate-term on-the-job training
"        Woodworking machine setters, operators, and tenders, except sawing",51-7042,Line item,63.1,61.9,-1.1,-1.8,6.4,40440,High school diploma or equivalent,,Moderate-term on-the-job training
"      Woodworkers, all other",51-7099,Line item,17.6,16.8,-0.8,-4.4,1.8,41220,High school diploma or equivalent,,Moderate-term on-the-job training
        Nuclear power reactor operators,51-8011,Line item,5.7,4.9,-0.9,-15.3,0.4,122610,High school diploma or equivalent,,Long-term on-the-job training
        Power distributors and dispatchers,51-8012,Line item,9.3,9,-0.3,-3.2,0.8,107240,High school diploma or equivalent,,Long-term on-the-job training
        Power plant operators,51-8013,Line item,31.6,28,-3.5,-11.2,2.5,99670,High school diploma or equivalent,,Long-term on-the-job training
      Stationary engineers and boiler operators,51-8021,Line item,33.3,34,0.7,2.2,3.8,75190,High school diploma or equivalent,,Long-term on-the-job training
      Water and wastewater treatment plant and system operators,51-8031,Line item,132.4,123.8,-8.7,-6.5,10.7,58260,High school diploma or equivalent,,Long-term on-the-job training
        Chemical plant and system operators,51-8091,Line item,18.1,17,-1.1,-6.1,1.6,73540,High school diploma or equivalent,,Moderate-term on-the-job training
        Gas plant operators,51-8092,Line item,16.2,14.8,-1.4,-8.8,1.3,83400,High school diploma or equivalent,,Long-term on-the-job training
"        Petroleum pump system operators, refinery operators, and gaugers",51-8093,Line item,34.9,34,-1,-2.8,3.2,97540,High school diploma or equivalent,,Moderate-term on-the-job training
"        Plant and system operators, all other",51-8099,Line item,16.3,16.6,0.3,1.6,1.6,61710,High school diploma or equivalent,,Moderate-term on-the-job training
        Chemical equipment operators and tenders,51-9011,Line item,128.9,133.1,4.3,3.3,14.4,57090,High school diploma or equivalent,,Moderate-term on-the-job training
"        Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Line item,54.4,52,-2.3,-4.3,5.4,49500,High school diploma or equivalent,,Moderate-term on-the-job training
"        Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Line item,28.7,27.9,-0.7,-2.5,2.7,46890,High school diploma or equivalent,,Moderate-term on-the-job training
"        Grinding and polishing workers, hand",51-9022,Line item,11.8,9.3,-2.5,-21.2,0.8,41690,No formal educational credential,,Moderate-term on-the-job training
"        Mixing and blending machine setters, operators, and tenders",51-9023,Line item,101.1,94.3,-6.8,-6.8,8.8,47680,High school diploma or equivalent,,Moderate-term on-the-job training
"        Cutters and trimmers, hand",51-9031,Line item,7,5.7,-1.3,-18.1,0.6,38800,No formal educational credential,,Short-term on-the-job training
"        Cutting and slicing machine setters, operators, and tenders",51-9032,Line item,49,47.9,-1.1,-2.3,5.3,45700,High school diploma or equivalent,,Moderate-term on-the-job training
"      Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,Line item,57.3,58.4,1.1,2,5.2,45130,High school diploma or equivalent,,Moderate-term on-the-job training
"      Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,Line item,16.5,17,0.5,3,1.9,47010,High school diploma or equivalent,,Moderate-term on-the-job training
"      Inspectors, testers, sorters, samplers, and weighers",51-9061,Line item,598,598.1,0.1,0,69.9,47460,High school diploma or equivalent,,Moderate-term on-the-job training
      Jewelers and precious stone and metal workers,51-9071,Line item,35.1,33.2,-1.9,-5.5,4,49140,High school diploma or equivalent,,Long-term on-the-job training
        Dental laboratory technicians,51-9081,Line item,35.2,33.6,-1.6,-4.7,3.9,48310,High school diploma or equivalent,,Moderate-term on-the-job training
        Medical appliance technicians,51-9082,Line item,12,12.4,0.4,3.7,1.5,47060,High school diploma or equivalent,,Moderate-term on-the-job training
        Ophthalmic laboratory technicians,51-9083,Line item,19.6,20,0.5,2.3,2.4,38420,High school diploma or equivalent,,Moderate-term on-the-job training
      Packaging and filling machine operators and tenders,51-9111,Line item,381.2,398.2,17,4.5,45.3,40900,High school diploma or equivalent,,Moderate-term on-the-job training
"        Painting, coating, and decorating workers",51-9123,Line item,8.8,8.9,0.1,1.4,0.8,40860,No formal educational credential,,Moderate-term on-the-job training
"        Coating, painting, and spraying machine setters, operators, and tenders",51-9124,Line item,165.5,166.7,1.2,0.7,15.8,47590,High school diploma or equivalent,,Moderate-term on-the-job training
      Semiconductor processing technicians,51-9141,Line item,31.9,35.4,3.5,10.9,3.9,51180,High school diploma or equivalent,,Moderate-term on-the-job training
      Photographic process workers and processing machine operators,51-9151,Line item,11.2,10.9,-0.3,-2.6,1.5,40100,High school diploma or equivalent,,Short-term on-the-job training
        Computer numerically controlled tool operators,51-9161,Line item,177.1,158.1,-19,-10.7,13.5,49970,High school diploma or equivalent,,Moderate-term on-the-job training
        Computer numerically controlled tool programmers,51-9162,Line item,28.3,31.9,3.6,12.8,3.1,65670,Postsecondary nondegree award,,Moderate-term on-the-job training
        Adhesive bonding machine operators and tenders,51-9191,Line item,12.2,12.3,0.1,1,1.3,45210,High school diploma or equivalent,,Moderate-term on-the-job training
"        Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,Line item,14.6,15.2,0.5,3.6,1.6,41460,High school diploma or equivalent,,Moderate-term on-the-job training
        Cooling and freezing equipment operators and tenders,51-9193,Line item,7.1,7.6,0.5,7.2,0.8,40160,High school diploma or equivalent,,Moderate-term on-the-job training
        Etchers and engravers,51-9194,Line item,8.6,8.6,-0.1,-0.7,0.9,40450,High school diploma or equivalent,,Moderate-term on-the-job training
"        Molders, shapers, and casters, except metal and plastic",51-9195,Line item,41.7,44.3,2.6,6.2,5.5,45690,High school diploma or equivalent,,Long-term on-the-job training
"        Paper goods machine setters, operators, and tenders",51-9196,Line item,97.5,91.4,-6.1,-6.3,8.1,49390,High school diploma or equivalent,,Moderate-term on-the-job training
        Tire builders,51-9197,Line item,20.9,21.4,0.5,2.3,2.5,55580,High school diploma or equivalent,,Moderate-term on-the-job training
        Helpers--production workers,51-9198,Line item,168.5,153.5,-15,-8.9,23.6,38220,High school diploma or equivalent,,Short-term on-the-job training
"        Production workers, all other",51-9199,Line item,292.8,294.3,1.5,0.5,31.6,38820,High school diploma or equivalent,,Moderate-term on-the-job training
      Aircraft cargo handling supervisors,53-1041,Line item,10.3,10.8,0.5,5.2,1.1,63940,High school diploma or equivalent,Less than 5 years,
"      First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1047,Line item,609.6,632.2,22.5,3.7,61.3,61890,High school diploma or equivalent,Less than 5 years,
"        Airline pilots, copilots, and flight engineers",53-2011,Line item,100,103.9,3.9,3.9,11.7,226600,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
        Commercial pilots,53-2012,Line item,55.4,58.3,2.8,5.1,6.6,122670,Postsecondary nondegree award,,Moderate-term on-the-job training
        Air traffic controllers,53-2021,Line item,24.1,24.4,0.3,1.2,2.2,144580,Associate's degree,,Long-term on-the-job training
        Airfield operations specialists,53-2022,Line item,16.9,17.6,0.7,4.2,1.6,56750,High school diploma or equivalent,,Long-term on-the-job training
      Flight attendants,53-2031,Line item,130.8,142.9,12.1,9.2,19.8,67130,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"      Ambulance drivers and attendants, except emergency medical technicians",53-3011,Line item,12.3,12.1,-0.2,-1.3,1.4,34330,High school diploma or equivalent,,Moderate-term on-the-job training
        Driver/sales workers,53-3031,Line item,451.5,491.3,39.8,8.8,51.3,37130,High school diploma or equivalent,,Short-term on-the-job training
        Heavy and tractor-trailer truck drivers,53-3032,Line item,2235.1,2324.4,89.3,4,237.6,57440,Postsecondary nondegree award,,Short-term on-the-job training
        Light truck drivers,53-3033,Line item,1079.8,1158.6,78.9,7.3,120.2,44140,High school diploma or equivalent,,Short-term on-the-job training
"        Bus drivers, school",53-3051,Line item,387.3,388.2,0.9,0.2,61,47040,High school diploma or equivalent,,Short-term on-the-job training
"        Bus drivers, transit and intercity",53-3052,Line item,158.8,165.6,6.8,4.3,20.9,57440,High school diploma or equivalent,,Moderate-term on-the-job training
        Shuttle drivers and chauffeurs,53-3053,Line item,243.9,260.3,16.4,6.7,36.3,36670,No formal educational credential,,Short-term on-the-job training
        Taxi drivers,53-3054,Line item,204,226.6,22.6,11.1,22.6,36220,No formal educational credential,,Short-term on-the-job training
"      Motor vehicle operators, all other",53-3099,Line item,79.3,84,4.7,6,11.1,36260,No formal educational credential,,Short-term on-the-job training
        Locomotive engineers,53-4011,Line item,27,27.2,0.2,0.7,2.2,77400,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"        Rail yard engineers, dinkey operators, and hostlers",53-4013,Line item,3.1,3.1,0,0.3,0.2,58030,High school diploma or equivalent,,Moderate-term on-the-job training
"      Railroad brake, signal, and switch operators and locomotive firers",53-4022,Line item,11,11.1,0.1,1,1,65480,High school diploma or equivalent,,Moderate-term on-the-job training
      Railroad conductors and yardmasters,53-4031,Line item,36.8,37.2,0.4,1.1,3.1,74080,High school diploma or equivalent,,Moderate-term on-the-job training
      Subway and streetcar operators,53-4041,Line item,9.6,9.9,0.3,3.4,0.9,84830,High school diploma or equivalent,,Moderate-term on-the-job training
"      Rail transportation workers, all other",53-4099,Line item,1.6,1.6,0.1,3.9,0.2,49330,High school diploma or equivalent,,Moderate-term on-the-job training
      Sailors and marine oilers,53-5011,Line item,32.1,32.8,0.7,2.3,3.9,49610,No formal educational credential,,Moderate-term on-the-job training
"        Captains, mates, and pilots of water vessels",53-5021,Line item,40.7,40.9,0.2,0.5,4.3,85540,Postsecondary nondegree award,Less than 5 years,
        Motorboat operators,53-5022,Line item,2.7,2.8,0,1.4,0.3,51880,Postsecondary nondegree award,Less than 5 years,
      Ship engineers,53-5031,Line item,8.8,9,0.1,1.6,1.1,101320,Postsecondary nondegree award,Less than 5 years,
      Bridge and lock tenders,53-6011,Line item,2.9,2.8,-0.1,-3.3,0.3,58490,High school diploma or equivalent,,Short-term on-the-job training
      Parking attendants,53-6021,Line item,135.7,139.8,4,3,18.5,34600,No formal educational credential,,Short-term on-the-job training
        Automotive and watercraft service attendants,53-6031,Line item,100,99,-1,-1,14.4,34850,No formal educational credential,,Short-term on-the-job training
        Aircraft service attendants,53-6032,Line item,28,29.5,1.4,5.1,4.3,41540,High school diploma or equivalent,,Short-term on-the-job training
      Traffic technicians,53-6041,Line item,7.9,8.2,0.3,3.7,0.8,58480,High school diploma or equivalent,,Moderate-term on-the-job training
      Transportation inspectors,53-6051,Line item,25.7,26.1,0.4,1.7,2.5,85750,High school diploma or equivalent,,Moderate-term on-the-job training
      Passenger attendants,53-6061,Line item,25.6,26.8,1.2,4.7,4.1,37560,High school diploma or equivalent,,Short-term on-the-job training
"      Transportation workers, all other",53-6099,Line item,11.5,11.9,0.4,3.8,1.2,39630,High school diploma or equivalent,,Short-term on-the-job training
      Conveyor operators and tenders,53-7011,Line item,29.1,28.1,-1,-3.4,2.6,41230,No formal educational credential,,Short-term on-the-job training
      Crane and tower operators,53-7021,Line item,42.3,43.5,1.3,3,3.8,66370,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
      Dredge operators,53-7031,Line item,1.1,1.2,0,1.2,0.1,48430,High school diploma or equivalent,,Moderate-term on-the-job training
      Hoist and winch operators,53-7041,Line item,2.7,2.7,0,-1.1,0.3,52310,No formal educational credential,,Short-term on-the-job training
      Industrial truck and tractor operators,53-7051,Line item,792.5,801.6,9.1,1.1,76.4,46390,No formal educational credential,,Short-term on-the-job training
        Cleaners of vehicles and equipment,53-7061,Line item,410.1,426.2,16,3.9,56.2,35270,No formal educational credential,,Short-term on-the-job training
"        Laborers and freight, stock, and material movers, hand",53-7062,Line item,2988.9,3033.1,44.3,1.5,384.3,38940,No formal educational credential,,Short-term on-the-job training
        Machine feeders and offbearers,53-7063,Line item,46.5,40.4,-6,-13,4.7,39700,No formal educational credential,,Short-term on-the-job training
"        Packers and packagers, hand",53-7064,Line item,591.8,559.7,-32.2,-5.4,74,35580,No formal educational credential,,Short-term on-the-job training
        Stockers and order fillers,53-7065,Line item,2764.8,2999.8,235,8.5,472.3,37090,No formal educational credential,,Short-term on-the-job training
        Gas compressor and gas pumping station operators,53-7071,Line item,5.4,5.3,-0.1,-1.3,0.6,71510,High school diploma or equivalent,,Moderate-term on-the-job training
"        Pump operators, except wellhead pumpers",53-7072,Line item,13.1,13.5,0.3,2.6,1.5,60020,High school diploma or equivalent,,Moderate-term on-the-job training
        Wellhead pumpers,53-7073,Line item,18.8,17.9,-0.9,-4.7,2,70010,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
      Refuse and recyclable material collectors,53-7081,Line item,147.9,149.2,1.3,0.9,16.9,48350,No formal educational credential,,Short-term on-the-job training
"      Tank car, truck, and ship loaders",53-7121,Line item,12,12.5,0.5,4.3,1.3,58070,No formal educational credential,,Short-term on-the-job training
"      Material moving workers, all other",53-7199,Line item,27.7,28.9,1.2,4.3,3.1,41690,No formal educational credential,,Short-term on-the-job training
