	Salmon_Weight
0	3.2752053298176413
1	84.00071734451494
2	17.12798857351138
3	68.62808196740863
4	51.100461039505745
5	48.06232041992424
6	10.094088678217695
7	31.28769532628517
8	105.76537781337187
9	119.85568676294315
10	44.277549851684846
11	72.30122830224647
12	93.21139812788229
13	43.47167685043204
14	85.64311384968738
15	71.95950766667278
16	75.69481321688924
17	54.802573051975536
18	73.1444174391007
19	50.75089469841469
20	21.921307513292827
21	74.07447135835913
22	30.205861708243862
23	131.16291743128207
24	28.864757751527357
25	35.862588199348515
26	67.48841441196086
27	31.536466756420626
28	55.17573065876664
29	31.47259477372093
30	13.84302085173353
31	43.60237122312462
32	103.01653915844332
33	73.68365960133664
34	87.46745914473742
35	70.74610811861321
36	73.32272485472822
37	80.00584491464254
38	15.362767734805743
39	109.77087193272301
40	45.179858449425275
41	13.80026935483791
42	41.93026576817251
43	106.09124950424143
44	123.83484123443311
45	101.15042052073028
46	161.7455133611323
47	5.897521948575691
48	38.022697561869975
49	32.440330506239164
50	44.323744149101564
51	64.88492352663022
52	107.5434903024813
53	50.374808288786056
54	81.65343452816772
55	70.36802129518485
56	13.876393371129707
57	28.13012487189146
58	89.53223939581143
59	62.66021449778836
60	37.161146924084065
61	13.121211552082086
62	97.59051914667157
63	32.35643800731718
64	94.18876500475244
65	31.042596382434482
66	48.23094773846253
67	44.692042582952745
68	44.99801419178953
69	9.386079052071418
70	46.37844681463749
71	38.483664035717545
72	13.822059803331745
73	32.82429526476344
74	219.026118247253
75	38.366711248413026
76	28.31292152159101
77	43.20354170523692
78	16.641238348235998
79	38.14401432331391
80	17.766444852257976
81	171.27828064717116
82	98.44885752624454
83	41.76517844519145
84	10.316358912109592
85	17.937922188389138
86	27.91208388565748
87	17.872131692389907
88	74.19829142366649
89	34.77013067505734
90	30.435038381504448
91	78.68098574565745
92	81.76910652184952
93	111.91270329277296
94	48.3738605487674
95	57.523425125030755
96	17.976048232271516
97	29.25208805520139
98	57.307002932877204
99	121.60740611174091
100	80.15897628444989
101	57.3439729845393
102	157.47336990394237
103	20.52732224096455
104	7.91876350306215
105	58.487796488273325
106	100.80618296577684
107	61.59185496000399
108	35.01357118820402
109	43.27417969949611
110	54.765150398425895
111	25.069189437035966
112	162.89578301653344
113	78.59609942532488
114	67.71909291840315
115	31.1515605358326
116	58.259814882146685
117	14.459890820590081
118	80.82896330263716
119	98.81388777374323
120	35.052042864325664
121	52.32445151878417
122	44.7526641720261
123	38.68630126251611
124	53.66046489930179
125	27.95413907889943
126	50.91008107546307
127	43.63468371142018
128	115.1260599762736
129	122.79325845538617
130	59.545513812710006
131	60.284540550729425
132	63.060125813537034
133	131.05419643605572
134	79.4895886907824
135	50.576782524308825
136	18.0849250589424
137	6.3346242574086675
138	139.73070241282358
139	62.966763159617436
140	45.9650137193611
141	23.35438053632913
142	22.94585801708317
143	147.54608348902556
144	57.586795332253885
145	97.61731314917694
146	97.58392772283236
147	22.568780215106074
148	120.77644183132836
149	51.98077712561259
150	52.38404479639422
151	101.55210238235996
152	178.60217129862133
153	14.356659906886124
154	15.441877939312029
155	39.67831949881318
156	92.03668471495962
157	55.46433741160409
158	64.60305886595222
159	9.642749447413252
160	56.69560078253551
161	35.8993931181134
162	57.23938003647356
163	146.37909144414752
164	105.51316561847479
165	51.205047678809
166	48.23985497902906
167	31.51266922668086
168	37.6002766372341
169	28.413452238010148
170	36.858098701577845
171	13.932537557879312
172	48.589350513151004
173	122.69808634681476
174	19.89845508798879
175	68.73833110353593
176	101.49021874356191
177	13.120872056119346
178	3.9440203125787474
179	50.80989260984617
180	30.290412465731173
181	110.60004952110971
182	24.148416161042103
183	43.23137954675496
184	87.4712503856048
185	9.616481865883372
186	9.716021990748423
187	39.137634433782274
188	54.366914777694475
189	37.847817511291055
190	51.878165163557824
191	89.18582888765476
192	50.482079310861884
193	71.42660481090256
194	114.09056197846223
195	70.03552968337011
196	70.90321037314317
197	111.62839225305531
198	39.21997057786823
199	58.55077700719304
200	11.632058299414053
201	6.209988800228037
202	47.78379423859148
203	147.15595676411948
204	43.094512992525985
205	104.83314836580456
206	62.59935065991958
207	33.862421414082554
208	57.399451803374156
209	67.67992640575235
210	52.40759070052226
211	14.247922831869769
212	73.06094195625953
213	68.72878105201559
214	21.78132429899921
215	46.2953101451664
216	43.84526955100267
217	174.84135133228648
218	35.26711710240063
219	138.30408425833608
220	58.53319584783145
221	108.10331824660618
222	17.158435654531907
223	31.75865777694129
224	8.7691598803713
225	17.21874165896634
226	19.561394003994025
227	99.4752219080321
228	33.64054532612737
229	64.13123431814121
230	33.45099340669953
231	64.57612713871515
232	14.850028680653427
233	33.34168401665284
234	83.40116279978041
235	79.29059915660973
236	96.93218973792752
237	74.41164349101851
238	10.702996835812867
239	40.69652107544106
240	93.44343241307811
241	41.70240337225023
242	8.032806977282554
243	126.89246881921268
244	75.02252751353012
245	54.269383186924294
246	92.51815652508787
247	21.081358411973248
248	10.53526613691341
249	125.91639666771914
250	12.584495064263999
251	4.33510387124622
252	19.209770744024564
253	33.137688811483685
254	26.359954733030747
255	129.14724628636046
256	151.54237767928566
257	19.73373686006359
258	28.040764297959317
259	33.733274429637845
260	33.100030567710874
261	73.91108549764644
262	173.645322226267
263	126.8798094527322
264	107.45157021849657
265	30.792139819269572
266	68.52627276822871
267	43.48853287406896
268	88.91039154262083
269	149.58555852285187
270	43.92284936241684
271	15.322340572642524
272	90.78665028112364
273	101.52532251213637
274	142.7479462402204
275	32.24153766151403
276	103.90292198311502
277	98.22809553227607
278	41.083295874197866
279	29.22814385067905
280	37.854135756290106
281	137.7549106843304
282	151.1585580181935
283	30.235364181949524
284	72.72750940525222
285	132.0753629615816
286	52.59932105205388
287	65.74824628018396
288	152.47490428542375
289	28.931801131767454
290	65.17110462303988
291	42.558757983943785
292	28.22604516612721
293	147.46924985441999
294	71.33699517219216
295	65.46532460187828
296	95.74007481190391
297	27.046530886900555
298	10.410319209680523
299	57.9693787982338
300	121.82303519774055
301	144.02422022624492
302	19.953405563441297
303	86.51003608979731
304	56.02718402788164
305	151.62129647181186
306	81.76263842268263
307	9.889882444927814
308	22.405520219652853
309	32.584382474283174
310	33.02148535159389
311	75.6633762943388
312	26.06011917889809
313	24.664317084530005
314	197.04868554605235
315	10.623188005550947
316	15.699839344128971
317	45.86824943253439
318	120.18181383115666
319	102.461754900698
320	47.14046376452339
321	89.36963663488675
322	20.741074236424442
323	54.046800851334964
324	76.55265052197959
325	36.6276173840804
326	79.16652760692621
327	35.73252365872805
328	59.69739927991579
329	72.90427060555601
330	33.507737529314035
331	42.65925193327823
332	7.273698203311267
333	17.22439090620708
334	196.07720905014182
335	66.06090048650782
336	58.397719586810105
337	63.222498631277745
338	25.803221618554463
339	67.20442920860533
340	116.0384214806206
341	2.192937357505826
